record_type,platform,name,v10_address,v11_address,beneficiary,old_markee,new_markee_1,new_markee_2
factory,OpenInternet,,0x3f9f7C070f03167C0A90Ee7C2c5863d6F15F7E6D,0xb9922E2bdbA79190F0da51Fe362297Ef214eD254,,,,
factory,Github,,0x9df259De9dF51143e27d062f3B84Ed8D9AaCc3aA,0xb1E2dC9582810124Fed3Cdb4B8Bb944A5495D85a,,,,
factory,Superfluid,,0x45Ce642d1Dc0638887e3312c95a66fA8fcbAe09d,0x1E1b0C22e2C6C7b46ABb0F25231c7eecD4f0A2d8,,,,
admin,Markee Admin,,,,0xAf4401E765dFf079aB6021BBb8d46E53E27613DB,,,
leaderboard,OpenInternet,Honeyswap,,0x9Eb8939fbc11A546617bc4C55e9AFa4D4d847d80,0xc6c2E9EFB898A42DB4137B07b727b45e0C353d81,,0xb3cd28cf15052639abcaa892e2142502726707c5,
leaderboard,OpenInternet,Gitcoin,,0x56f0e84de401198d485bbe30fe13651b0f03b165,0xde21F729137C5Af1b01d73aF1dC21eFfa2B8a0d6,,0xf3c35c36255b68e88c0ac4cb68997e22bf5e5619,0xc8363b3e28db6296f3a0e3e04feb31e4952e69aa
leaderboard,OpenInternet,Matias,,0xf47cbd51123d4e74128d144c65be092c16134bea,0xa25211B64D041F690C0c818183E32f28ba9647Dd,,0x8B06b9eFaaffE15F17848D1eC61a4682fC9B2cf8,
leaderboard,Github,pglavin2/honeyswap-interface — README.md,,0xb974d9df9b6302ff99b9cc18b1a14ff363aaee21,0xc6c2E9EFB898A42DB4137B07b727b45e0C353d81,,0xF1f961Ea19BE2b29eB4B3D21F77ceCe1EBB485Ba,0xA7070bb057F2c38e6b6E5a03bCB504b70f2c83b8
leaderboard,Github,1Hive/markee — SKILL.md,,0x670986ce867674b280b19b0e406c840113224fb6,0xAf4401E765dFf079aB6021BBb8d46E53E27613DB,,0x236a2428766dBc55D7Df3DA7C7d28058F0E4c9aA,0x93d52Da218B1622c70A1FCA10B76462ec0821Cc1
leaderboard,Github,1Hive/gardens-v2 — README.md,,0x2335bfa938b60c73f0a1d62c6ecc747e8c516d2c,0xd7a3D3A7dd35b8e81FC0b83C032D0ED3261417D9,,0x9bFe90460418223d65AbE23A83F3681EcAC94A62,
leaderboard,Github,web3devz/VeriNet — README.md,,0xd5e62eac5e144a0cb09774ae9285d50e88667dae,0x98d67F2A45AF911798fF1E094520DA12C3FaA9dd,,0x22a6dA0E008208F66987017CC0E66fB253e5e8D7,
leaderboard,Github,bitpixi2/deviantclaw,,0x6061c7e557ccce69ba804aeba43a9cd7aa157078,0xEc11EEa22DCaA37A31b441FB7d2b503e842F6E50,,0x5E110d4D638E3f8482ed37F487a295F3d5e8DC30,0xd57FF2F69368b24587CA80bd2D6f9C8A471BA7f1
leaderboard,Github,JimmyNagles/agent-verification-network,,0x254a9ced62b214ee1998c7c7934ee25a57e3fbf9,0x135f95b3B4676fFDa0b86f7575EAB59eE1f3F501,,0x4398375A61ce24Ed7f4345be210741023138cbc9,
